1960-01-01,6550
1960-02-01,8728
1960-03-01,12026
1960-04-01,14395
1960-05-01,14587
1960-06-01,13791
1960-07-01,9498
1960-08-01,8251
1960-09-01,7049
1960-10-01,9545
1960-11-01,9364
1960-12-01,8456
1961-01-01,7237
1961-02-01,9374
1961-03-01,11837
1961-04-01,13784
1961-05-01,15926
1961-06-01,13821
1961-07-01,11143
1961-08-01,7975
1961-09-01,7610
1961-10-01,10015
1961-11-01,12759
1961-12-01,8816
1962-01-01,10677
1962-02-01,10947
1962-03-01,15200
1962-04-01,17010
1962-05-01,20900
1962-06-01,16205
1962-07-01,12143
1962-08-01,8997
1962-09-01,5568
1962-10-01,11474
1962-11-01,12256
1962-12-01,10583
1963-01-01,10862
1963-02-01,10965
1963-03-01,14405
1963-04-01,20379
1963-05-01,20128
1963-06-01,17816
1963-07-01,12268
1963-08-01,8642
1963-09-01,7962
1963-10-01,13932
1963-11-01,15936
1963-12-01,12628
1964-01-01,12267
1964-02-01,12470
1964-03-01,18944
1964-04-01,21259
1964-05-01,22015
1964-06-01,18581
1964-07-01,15175
1964-08-01,10306
1964-09-01,10792
1964-10-01,14752
1964-11-01,13754
1964-12-01,11738
1965-01-01,12181
1965-02-01,12965
1965-03-01,19990
1965-04-01,23125
1965-05-01,23541
1965-06-01,21247
1965-07-01,15189
1965-08-01,14767
1965-09-01,10895
1965-10-01,17130
1965-11-01,17697
1965-12-01,16611
1966-01-01,12674
1966-02-01,12760
1966-03-01,20249
1966-04-01,22135
1966-05-01,20677
1966-06-01,19933
1966-07-01,15388
1966-08-01,15113
1966-09-01,13401
1966-10-01,16135
1966-11-01,17562
1966-12-01,14720
1967-01-01,12225
1967-02-01,11608
1967-03-01,20985
1967-04-01,19692
1967-05-01,24081
1967-06-01,22114
1967-07-01,14220
1967-08-01,13434
1967-09-01,13598
1967-10-01,17187
1967-11-01,16119
1967-12-01,13713
